ADM2_EN,county,Sub_County,Ward,Latitude,Longitude,Report_Dat,Disease_Co,Species_Af,Number_at_,Number_Sick,Number_Dea,Number_Sla,Number_Des,Number_Hum,Number_Vac,Incidence
Marakwet East,Elgeyo/Marakwet,Marakwet East,Sambirir,1.063221667,35.58672333,6/7/2024,Rabies,Cattle,5,1,0,0,0,1,5,0.166666667
Marakwet East,Elgeyo/Marakwet,Marakwet East,Sambirir,1.0694073,35.5816865,3/22/2024,Rabies,Cattle,7,2,0,0,0,0,0,0.222222222
Marakwet East,Elgeyo/Marakwet,Marakwet East,Sambirir,1.0657015,35.5840798,2/28/2024,Rabies,Cattle,17,0,0,0,0,0,0,0
Marakwet West,Elgeyo/Marakwet,Marakwet West,Cherang'Any/Chebororwa,0.9549014,35.4019847,4/10/2024,Rabies,Cattle,1,1,0,0,1,NA,3,0.5
Marakwet West,Elgeyo/Marakwet,Marakwet West,Lelan,1.0246311,35.4458344,2/20/2024,Rabies,Cattle,1,1,1,0,0,0,20,0.5
Masinga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matayos,Busia,Matayos,Busibwabo,0.46850362,34.21510049,5/20/2024,Rabies,Dogs,0,1,0,0,0,0,0,1
Mathare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathioya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathira,Nyeri,Kieni,Thegu River,-0.3635775,37.0744097,7/2/2024,Rabies,Dogs,2,0,1,0,1,0,0,0
Matuga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matungu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matungulu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mavoko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mbooni,Makueni,Mbooni,Kiteta/Kisau,-1.6218537,37.5626273,5/7/2024,Rabies,Goats,12,1,0,10,0,0,0,0.076923077
Mbooni,Makueni,Mbooni,Kiteta/Kisau,-1.6113343,37.5716016,5/9/2024,Rabies,Goats,15,1,1,1,1,0,15,0.0625
Mbooni,Makueni,Mbooni,Waia-Kako,-1.7357344,37.6394937,4/11/2024,Rabies,Dogs,30,20,0,0,0,0,20,0.4
Mogotio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moiben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mosop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moyale,Marsabit,Moyale,Heillu/Manyatta,3.52462858,39.08868837,6/4/2024,Rabies,Donkey,15,1,0,0,0,0,0,0.0625
Moyale,Marsabit,Moyale,Obbu,3.5636792,38.6452829,1/9/2024,Rabies,Dogs,0,1,0,0,0,0,0,1
Moyale,Marsabit,Moyale,Golbo,3.149389,39.240794,1/10/2024,Rabies,Donkey,185,1,0,0,3,2,0,0.005376344
Moyale,Marsabit,Moyale,Heillu/Manyatta,3.476016667,39.13101333,6/11/2024,Rabies,Donkey,100,8,0,0,0,0,0,0.074074074
Moyale,Marsabit,Moyale,Sololo,3.592529,38.623975,1/13/2024,Rabies,Cattle,16,1,0,0,0,0,0,0.058823529
Moyale,Marsabit,Moyale,Golbo,3.13488485,39.25624094,1/15/2024,Rabies,Dogs,2,0,2,0,2,0,2,0
Moyale,Marsabit,Moyale,Uran,3.489085,38.241528,1/23/2024,Rabies,Cattle,2,0,0,0,0,0,0,0
Msambweni,Kwale,Msambweni,Kinondo,-4.370455,39.52432833,12/23/2024,Rabies,Dogs,1,1,0,0,1,NA,0,0.5
Mt. Elgon,Bungoma,Mt. Elgon,Chepyuk,0.8374625,34.5602802,3/9/2024,Rabies,Donkey,1,1,0,0,0,0,0,0.5
Muhoroni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mukurweni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mumias East,Kakamega,Butere,Marama Central,0.2900784,34.5131979,1/11/2024,Rabies,Dogs,2000,2,0,0,0,2,2,0.000999001
Mumias East,Kakamega,Butere,Marama West,0.3179822,34.5703165,1/11/2024,Rabies,Cattle,2,1,0,0,0,0,0,0.333333333
Mumias West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mvita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mwala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mwatate,Taita Taveta,Mwatate,Mwatate,-3.4528213,38.3809315,8/4/2024,Rabies,Cattle,0,1,0,0,0,NA,0,1
Mwatate,Taita Taveta,Mwatate,Bura,-3.4952933,38.3173958,8/5/2024,Rabies,Cattle,0,0,0,0,0,0,0,0
Mwatate,Taita Taveta,Voi,Ngolia,-3.3655538,38.4348728,7/8/2024,Rabies,Cattle,0,1,0,0,0,0,0,1
Mwatate,Taita Taveta,Mwatate,Bura,-3.4877988,38.3154196,7/20/2024,Rabies,Cattle,0,0,0,0,0,0,0,0
Mwatate,Taita Taveta,Mwatate,Bura,-3.4565222,38.3137728,7/20/2024,Rabies,Cattle,0,0,0,0,0,0,0,0
Mwea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mwingi East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mwingi North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mwingi West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naivasha,Nakuru,Gilgil,Malewa West,-0.7080188,36.4754874,2/5/2024,Rabies,Cattle,0,1,0,0,0,0,0,1
Nakuru Town East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nakuru Town West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nambale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nandi Hills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narok East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narok North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narok South,Narok,Narok South,Loita,-1.7092868,35.8114625,5/5/2024,Rabies,Dogs,50,2,0,0,0,0,0,0.038461538
Narok South,Narok,Narok South,Loita,-1.8641834,35.8305522,4/6/2024,Rabies,Dogs,12,1,0,0,0,0,0,0.076923077
Narok South,Narok,Narok South,Loita,-1.9051072,35.7394938,4/17/2024,Rabies,Dogs,23,2,0,0,1,0,23,0.08
Narok South,Narok,Narok South,Loita,-1.8549705,35.8506596,7/18/2024,Rabies,Dogs,15,3,1,0,1,0,4,0.166666667
Narok West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Navakholo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ndaragwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ndhiwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ndia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nithi,Tharaka-Nithi,Chuka/Igambang'Ombe,Mariani,-0.3454905,37.7163997,9/11/2024,Rabies,Dogs,0,0,0,0,0,0,4,0
Nithi,Tharaka-Nithi,Chuka/Igambang'Ombe,Magumoni,-0.346435,37.62342,9/20/2024,Rabies,Cattle,0,0,0,0,0,0,0,0
Njoro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Horr,Marsabit,North Horr,Maikona,3.132333,37.4276131,6/13/2024,Rabies,Donkey,8,4,2,0,2,2,0,0.333333333
North Horr,Marsabit,North Horr,Turbi,3.3020072,38.3773119,1/15/2024,Rabies,Cattle,3,0,1,0,1,0,3,0
North Horr,Marsabit,North Horr,Illeret,4.3007641,36.2431682,2/17/2024,Rabies,Dogs,3,2,0,0,2,0,1,0.4
North Horr,Marsabit,North Horr,Turbi,3.5115751,38.0996672,1/20/2024,Rabies,Dogs,70,1,1,0,1,2,20,0.014084507
North Horr,Marsabit,North Horr,Turbi,3.2970806,38.3750085,6/28/2024,Rabies,Donkey,3,2,1,0,0,0,0,0.4
North Imenti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Mugirango,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyakach,Kericho,Sigowet/Soin,Kaplelartet,-0.2790495,34.9794259,3/22/2024,Rabies,Cattle,3,1,0,0,0,NA,0,0.25
Nyali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyando,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyaribari Chache,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyaribari Masaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyatike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyeri Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ol Jorok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ol Kalou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Othaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pokot South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rabai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rangwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rarieda,Siaya,Rarieda,North Uyoma,-0.2808652,34.3707591,6/16/2024,Rabies,Cattle,6,0,1,0,1,0,6,0
Rongai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rongo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roysambu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruaraka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruiru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Runyenjes,Embu,Runyenjes,Kagaari North,-0.430313333,37.56818167,8/9/2024,Rabies,Goats,2,1,0,0,1,0,0,0.333333333
Runyenjes,Embu,Runyenjes,Kyeni North,-0.4281305,37.5649419,7/28/2024,Rabies,Cattle,20,0,2,0,0,0,20,0
Sabatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saboti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saku,Marsabit,Saku,Karare,2.3130791,37.9355786,8/16/2024,Rabies,Camel,31,1,1,0,1,0,30,0.03125
Saku,Marsabit,Saku,Marsabit Central,2.343346017,37.97630013,4/19/2024,Rabies,Dogs,120,1,0,0,0,0,0,0.008264463
Saku,Marsabit,Saku,Karare,2.318542,37.947075,7/20/2024,Rabies,Camel,30,1,1,0,1,0,0,0.032258065
Saku,Marsabit,Saku,Karare,2.3130895,37.9352474,8/24/2024,Rabies,Camel,50,50,1,0,1,0,50,0.5
Samburu East,Samburu,Samburu East,Wamba West,0.8226667,37.0011117,6/4/2024,Rabies,Dogs,3,1,0,0,0,NA,0,0.25
Samburu East,Samburu,Samburu East,Wamba East,1.029607,37.07112,1/31/2024,Rabies,Goats,8,1,0,0,1,0,0,0.111111111
Samburu East,Samburu,Samburu East,Wamba East,0.9789289,37.3217682,1/31/2024,Rabies,Cattle,0,0,0,0,0,0,0,0
Samburu North,Samburu,Samburu North,El-Barta,1.7023339,36.7969293,4/18/2024,Rabies,Camel,29,1,0,0,1,0,0,0.033333333
Samburu North,Samburu,Samburu North,El-Barta,1.7540516,36.9441988,1/28/2024,Rabies,Goats,1,1,0,0,1,0,0,0.5
Samburu West,Samburu,Samburu West,Poro,0.9558628,36.760571,1/31/2024,Rabies,Cattle,3,1,0,0,0,0,0,0.25
Seme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shinyalu,Kakamega,Shinyalu,Murhanda,0.254121667,34.80726667,3/31/2024,Rabies,Dogs,3,1,0,0,0,1,2,0.25
Siakago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigowet/Soin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sirisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sotik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Imenti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Mugirango,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soy,Uasin Gishu,Soy,Kuinet/Kapsuswa,0.6299984,35.3208202,2/17/2024,Rabies,Cattle,1,0,0,0,0,0,1,0
Starehe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suba North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suba South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Subukia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suna East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suna West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarbaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taveta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teso North,Busia,Teso North,Malaba South,0.622595,34.3423131,4/28/2024,Rabies,Dogs,1,1,0,0,0,1,1,0.5
Teso South,Busia,Teso South,Amukura West,0.576365,34.19927167,4/3/2024,Rabies,Cattle,6,1,0,1,1,1,0,0.142857143
Teso South,Busia,Teso North,Malaba South,0.5701904,34.29928,1/5/2024,Rabies,Cattle,2,1,0,0,0,0,0,0.333333333
Teso South,Busia,Teso South,Amukura East,0.5454041,34.3065693,1/5/2024,Rabies,Goats,7,1,0,0,1,1,0,0.125
Teso South,Busia,Teso South,Amukura Central,0.5167632,34.3079577,11/16/2024,Rabies,Cattle,9,1,1,0,0,0,0,0.1
Tetu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tharaka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thika Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiaty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigania East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigania West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tinderet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tongaren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turbo,Uasin Gishu,Turbo,Kiplombe,0.5688746,35.2661762,5/18/2024,Rabies,Cattle,5,1,1,0,0,0,5,0.166666667
Turkana Central,Turkana,Turkana Central,Kanamkemer,3.102115,35.60297,8/16/2024,Rabies,Sheep,30,1,0,0,0,11,0,0.032258065
Turkana East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkana North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkana South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkana West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ugenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ugunja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uriri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vihiga,Vihiga,Sabatia,Lyaduywa/Izava,0.083853,34.7223459,7/31/2024,Rabies,Dogs,1,1,1,0,0,0,0,0.5
Voi,Taita Taveta,Voi,Ngolia,-3.3219951,38.5718307,3/28/2024,Rabies,Cattle,0,1,0,0,0,0,0,1
Wajir East,Wajir,Wajir East,Wagberi,1.7468355,40.0730811,8/30/2024,Rabies,Sheep,200,5,0,0,0,0,0,0.024390244
Wajir North,Marsabit,Moyale,Heillu/Manyatta,3.420316,39.325975,11/12/2024,Rabies,Dogs,5,7,0,0,0,0,0,0.583333333
Wajir South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wajir West,Wajir,Wajir West,Ganyure/Wagalla,1.64311,39.92049,11/24/2024,Rabies,Goats,423,4,2,0,0,1,0,0.009367681
Webuye East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Webuye West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Mugirango,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westlands,Machakos,Kathiani,Kathiani Central,-1.2594348,36.7311899,8/2/2024,Rabies,Dogs,5,0,0,0,0,0,0,0
Wundanyi,Taita Taveta,Wundanyi,Wumingu/Kishushe,-3.3830624,38.3348495,6/11/2024,Rabies,Cattle,2,1,0,0,0,NA,0,0.333333333
Wundanyi,Taita Taveta,Wundanyi,Wundanyi/Mbale,-3.4027223,38.3621734,7/27/2024,Rabies,Cattle,1,1,0,0,0,0,0,0.5
Yatta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
